base_lr,fflayers,ffdropout,activation_function,weight_decay,id,model-name,train-loss,valid-loss,train-content-loss,valid-content-loss,train-wording-loss,valid-wording-loss,best-valid-loss,elapsed-time,epochs
2e-08,4,0.1,relu,0.05,0,bert-base-cased,0.9524063076529728,0.9615462573038207,0.9285292625427246,0.9348710775375366,0.9762842655181885,0.9882215261459351,0.9615462573038207,3642.6463170051575,100
3e-06,4,0.03,relu,0.01,1,bert-base-cased,0.463097322863478,0.49020473824607,0.3864882290363312,0.41004037857055664,0.5397061705589294,0.5703688263893127,0.49020473824607,3679.2649009227753,100
4e-08,3,0.2,relu,0.003,2,bert-base-cased,0.9300950846724203,0.9403562322258949,0.9132888913154602,0.9200814962387085,0.9469016790390015,0.9606310725212097,0.9403562322258949,3664.0732238292694,100
3e-06,4,0.03,relu,0.005,3,bert-base-cased,0.4607823700581837,0.49074007388618257,0.3822517693042755,0.41062676906585693,0.5393128395080566,0.5708533525466919,0.4903284877538681,3664.1387763023376,100
3e-06,3,0.03,relu,0.01,4,bert-base-cased,0.4674788357130957,0.50126241379314,0.38895508646965027,0.4167288839817047,0.5460025668144226,0.5857961177825928,0.49370015379455356,2808.309961080551,77
2e-08,4,0.05,relu,0.05,5,bert-base-cased,0.9528187413768954,0.9616957879728741,0.9336190819740295,0.9393410086631775,0.9720191359519958,0.9840512275695801,0.9616957879728741,3659.3606073856354,100
4e-08,3,0.03,relu,0.003,6,bert-base-cased,0.9211861208026928,0.933394773138894,0.9062579870223999,0.914503812789917,0.9361140727996826,0.9522857666015625,0.933394773138894,3630.1866953372955,100
3e-07,4,0.1,relu,0.003,7,bert-base-cased,0.7657407984264276,0.775977484550741,0.7557964324951172,0.7588824033737183,0.7756850719451904,0.793072521686554,0.775977484550741,3647.686379671097,100
2e-07,4,0.2,relu,0.05,8,bert-base-cased,0.8809289087791489,0.8924621202879481,0.8736252188682556,0.8805291056632996,0.8882328271865845,0.9043954014778137,0.8924621202879481,3658.2823061943054,100
0.0005,4,0.1,relu,0.01,0,bert-base-cased,0.5117455815233263,0.5144636788301997,0.4446401298046112,0.44026875495910645,0.5788509845733643,0.5886586308479309,0.5023479888836543,252.586021900177,7
0.0003,4,0.1,relu,0.01,1,bert-base-cased,0.5223233595146444,0.5018943278325929,0.452128142118454,0.4217560887336731,0.5925188064575195,0.5820326805114746,0.4970753091904852,253.75066447257996,7
0.0005,3,0.05,relu,0.05,2,bert-base-cased,0.5012332759209132,0.5048722598287795,0.4363499879837036,0.42271050810813904,0.5661165118217468,0.5870340466499329,0.49167957719829347,253.21221709251404,7
0.0005,3,0.05,relu,0.005,3,bert-base-cased,0.5016683825129872,0.499576439956824,0.4307936429977417,0.4186980426311493,0.5725435018539429,0.5804550647735596,0.4917874276638031,252.07441902160645,7
0.0007,4,0.05,relu,0.003,4,bert-base-cased,0.5071210952278765,0.5436248898506164,0.4376521706581116,0.4764077067375183,0.5765900611877441,0.6108421087265015,0.5079448411862055,252.43891525268555,7
0.0007,3,0.05,relu,0.05,5,bert-base-cased,0.4998145502327714,0.5629597418838077,0.4322834014892578,0.49264833331108093,0.5673454999923706,0.633271336555481,0.4891199781662888,251.902818441391,7
0.0007,4,0.1,relu,0.05,6,bert-base-cased,0.5139762344402358,0.5203350669807858,0.44132569432258606,0.43566930294036865,0.5866269469261169,0.6050009727478027,0.49304738226864075,252.73357558250427,7
0.0005,3,0.1,relu,0.01,7,bert-base-cased,0.5111599062475515,0.5090104336539905,0.44553154706954956,0.42299991846084595,0.5767880082130432,0.5950208902359009,0.49484672397375107,255.1749873161316,7
0.0007,4,0.1,relu,0.003,8,bert-base-cased,0.5210021944809365,0.5616709682676527,0.4546467363834381,0.523209273815155,0.5873574614524841,0.6001327037811279,0.4981391217973497,254.50501561164856,7
0.0005,4,0.1,relu,0.005,9,bert-base-cased,0.5191107982020476,0.5312822982668877,0.4504701495170593,0.44509947299957275,0.587751567363739,0.6174651384353638,0.5012032762169838,254.98299622535706,7
0.0005,4,0.05,relu,0.005,10,bert-base-cased,0.5211749275827177,0.5009822655055258,0.4536740481853485,0.42645981907844543,0.588675856590271,0.5755046010017395,0.4872579554716746,253.42167949676514,7
0.00075,3,0.04,relu,0.04,0,bert-base-cased,0.4817945745163671,0.5285471453434891,0.4173721373081207,0.4605008661746979,0.5462173819541931,0.5965933203697205,0.4660124464995331,772.1528759002686,21
0.00075,3,0.04,relu,0.05,1,bert-base-cased,0.4238601000221358,0.48339846266640557,0.36889031529426575,0.4121902883052826,0.4788303077220917,0.5546069145202637,0.46331656442748176,1367.4422028064728,37
0.0008,3,0.03,relu,0.05,2,bert-base-cased,0.4504411205884753,0.4965691785017649,0.38972213864326477,0.40796446800231934,0.5111603140830994,0.5851740837097168,0.4626524728205469,949.8797242641449,26
0.00075,3,0.05,relu,0.03,3,bert-base-cased,0.44524717323690255,0.5797973470555411,0.38855236768722534,0.46753227710723877,0.5019416809082031,0.692062497138977,0.4627769634127617,1319.7764348983765,36
0.0008,3,0.04,relu,0.05,4,bert-base-cased,0.43211835952314975,0.4945576823419995,0.3736388385295868,0.41703662276268005,0.49059781432151794,0.5720787048339844,0.46131644282076095,1359.9241728782654,36
0.0007,3,0.04,relu,0.05,5,bert-base-cased,0.4466381624322905,0.4793599735531542,0.3899841904640198,0.3992743194103241,0.5032919645309448,0.5594456195831299,0.45971548507610954,1314.3201129436493,36
